rating,ASIN
2.625,1456517171
3.0,149618713X
3.0,1590306406
3.0,1449471153
3.0,0534507786
3.0,0596155972
3.0,0822329727
3.5,1609716663
3.5,0805448357
3.5,0078050227
3.5,1507591004
3.5,1594390258
3.5,1592912648
3.5,1416577033
3.5,1588464695
3.5,1565047354
3.5,0321934288
3.5,0887409601
3.5,0887283063
3.5,1935007084
3.5,1419541919
3.5,0679776486
3.5,0544451740
3.5,1631061224
3.5,0764138618
3.5,1430264454
3.5,1617753815
3.5,1561632929
3.5,1449329276
3.5,0691123977
3.5,0830833919
3.5,0816320071
3.5,1111306745
3.5,1449558828
4.2,0857333860
4.2,1848584865
4.2,0198613113
4.2,1606015257
4.2,1118277201
4.2,1572305525
4.2,1937958949
4.2,0762703369
4.2,0996192905
4.2,0091954959
4.2,1578646006
4.2,0198708955
4.2,1454837616
4.2,0136039758
4.2,0071441638
4.2,1451118066
4.2,1940254140
4.2,1119044618
4.2,0786468408
4.2,1611683807
4.2,0314202722
4.2,0671523031
4.2,1609710010
4.2,1593270410
4.2,1563921987
4.2,0940780291
4.2,8364596675
4.2,0071789847
4.2,0314181121
4.2,193525927X
4.2,1585446149
4.2,1593374356
4.2,0877458138
4.2,1517782503
4.2,1606995669
4.2,0750960582
4.2,1567933483
4.2,1512294071
4.2,1412062608
4.2,1598694405
4.2,0415925886
4.2,0199347557
4.2,1558745491
4.2,0071361561
4.2,0878226370
4.2,1137278862
4.2,2361950766
4.2,0735507899
4.2,0983638233
4.2,0789210312
4.2,0500281491
4.2,1907704175
4.2,0816610649
4.2,0991388380
4.2,0815607261
4.2,019979068X
4.2,0809296055
4.2,0671796410
4.2,1462116620
4.2,111909206X
4.2,0764524763
4.2,076244746X
4.2,1844259420
4.2,0130072532
4.2,0310699843
4.2,1585442402
4.2,0521132657
4.2,1908293217
4.2,0300207298
4.2,0840032277
4.2,1508925828
4.2,1935347160
4.2,080706341X
4.2,0199545561
4.2,0768012414
4.2,1585957100
4.2,0205762611
4.2,0825424682
4.2,081311747X
4.2,1111574359
4.2,0062313398
4.2,1609714849
4.2,1556430744
4.2,0764315900
4.2,0192842382
4.2,1576855694
4.2,082644198X
4.2,0857193961
4.2,1285774078
4.2,0141014806
4.2,1591432138
4.2,0692336842
4.2,0760347581
4.2,0830719164
4.2,1422420779
4.2,1285429109
4.2,0977968936
4.2,1612032621
4.2,098327696X
4.2,4766114345
4.2,0299295702
4.2,1409338932
4.2,3822817236
4.2,031638660X
4.2,1608716937
4.2,1847970435
4.2,076892829X
4.2,1896597777
4.2,1591264162
4.2,0898868629
4.2,1621640604
4.2,0471708585
4.2,1626194084
