,0,1
0,0557080398,"(0.56, 0.56, 0.56, 8.35, 0.0)"
1,2951246005,"(254.82, 254.82, 254.82, 254.3, 0.0)"
2,094020813X,"(248.25, 248.25, 248.25, 176.2, 0.0)"
3,1495972666,"(251.97, 251.97, 251.97, 197.87, 0.0)"
4,1570272670,"(12.7, 12.7, 12.7, 58.66, 0.0)"
5,3832798137,"(102.22, 102.22, 102.22, 125.98, 0.0)"
6,B004XNNDSQ,"(234.59, 234.59, 234.59, 194.27, 0.0)"
7,1501037420,"(16.52, 16.52, 16.52, 128.33, 0.0)"
8,1908966203,"(1.08, 1.08, 1.08, 20.62, 0.0)"
9,082477843X,"(254.5, 254.5, 254.5, 248.31, 0.0)"
10,0130998885,"(97.31, 97.31, 97.31, 130.23, 0.0)"
11,1595580905,"(49.08, 49.08, 49.08, 62.98, 0.0)"
12,0745685455,"(254.93, 254.93, 254.93, 247.5, 0.0)"
13,0982048017,"(254.75, 254.75, 254.75, 249.38, 0.0)"
14,0275983129,"(254.69, 254.69, 254.69, 246.05, 0.0)"
15,1434436810,"(194.66, 194.66, 194.66, 147.32, 0.0)"
16,1512305812,"(252.86, 252.86, 252.86, 208.59, 0.0)"
17,0557436680,"(0.57, 0.57, 0.57, 11.44, 0.0)"
18,0847838021,"(71.11, 71.11, 71.11, 110.18, 0.0)"
19,0231163460,"(254.36, 254.36, 254.36, 247.76, 0.0)"
20,1455502758,"(0.24, 0.24, 0.24, 8.74, 0.0)"
21,1578066697,"(97.24, 97.24, 97.24, 105.48, 0.0)"
22,1572242795,"(254.38, 254.38, 254.38, 217.77, 0.0)"
23,B00J3SCO5O,"(7.28, 7.28, 7.28, 92.58, 0.0)"
24,8591671309,"(0.36, 0.36, 0.36, 11.36, 0.0)"
25,1495233723,"(67.39, 67.39, 67.39, 137.26, 0.0)"
26,0990630900,"(18.32, 18.32, 18.32, 57.94, 0.0)"
27,1416552987,"(66.58, 66.58, 66.58, 128.89, 0.0)"
28,140517398X,"(253.47, 253.47, 253.47, 222.68, 0.0)"
29,143918450X,"(5.83, 5.83, 5.83, 69.42, 0.0)"
30,1909414158,"(253.69, 253.69, 253.69, 232.44, 0.0)"
31,0824702301,"(254.71, 254.71, 254.71, 244.73, 0.0)"
32,0419260102,"(254.34, 254.34, 254.34, 248.1, 0.0)"
33,1494477971,"(1.27, 1.27, 1.27, 9.2, 0.0)"
34,1480007994,"(0.27, 0.27, 0.27, 13.16, 0.0)"
35,1591610141,"(5.27, 5.27, 5.27, 20.89, 0.0)"
36,1936239310,"(251.36, 251.36, 251.36, 194.67, 0.0)"
37,0822356619,"(101.33, 101.33, 101.33, 65.2, 0.0)"
38,1453875867,"(0.17, 0.17, 0.17, 5.6, 0.0)"
39,048623231X,"(72.01, 72.01, 72.01, 119.47, 0.0)"
40,1880777215,"(14.97, 14.97, 14.97, 135.26, 0.0)"
41,1570185743,"(70.51, 70.51, 70.51, 128.06, 0.0)"
42,0674055225,"(227.55, 227.55, 227.55, 138.6, 0.0)"
